iter	MultiClass
514	0.1034184273
515	0.1034035085
516	0.1033864655
517	0.1033742476
518	0.103304278
519	0.1032864529
520	0.1032312196
521	0.1032048396
522	0.1031597473
523	0.1031278227
524	0.1031087109
525	0.1030853352
526	0.1030292631
527	0.1029707549
528	0.1029319133
529	0.1029102973
530	0.1028823284
531	0.1028446351
532	0.102814931
533	0.1027944274
534	0.1027593371
535	0.1027395888
536	0.1027193599
537	0.1027049346
538	0.1026833336
539	0.1026517777
540	0.1026203098
541	0.1026028704
542	0.1025701412
543	0.1025267834
544	0.1024981803
545	0.1024818746
546	0.1024555924
547	0.1024281885
548	0.1024095298
549	0.1023851537
550	0.1023533021
551	0.1023279645
552	0.1022961943
553	0.1022592994
554	0.102221904
555	0.102184588
556	0.1021594438
557	0.1021318043
558	0.1021207179
559	0.1020894852
560	0.1020716743
561	0.1020484056
562	0.1020271083
563	0.1020091478
564	0.1019829951
565	0.1019579863
566	0.1019382963
567	0.1019270723
568	0.1019079229
569	0.1018902071
570	0.1018754871
571	0.1018491142
572	0.1018300747
573	0.1018075163
574	0.1017857075
575	0.1017694351
576	0.101745743
577	0.1017289055
578	0.1016916972
579	0.1016593293
580	0.1016406897
581	0.1016095473
582	0.1015929618
583	0.1015723088
584	0.1015614579
585	0.1015372496
586	0.101521432
587	0.101507708
588	0.1014880293
589	0.1014694711
590	0.1014591794
591	0.101437156
592	0.1013875071
593	0.1013396594
594	0.1013015178
595	0.1012700892
596	0.1012516389
597	0.1011947854
598	0.1011529558
599	0.1011139889
